theme_name,level1,level2,level3,stock_code,stock_name,market_type,role,logic_summary,market_position,market_share,customers,importance,source,notes
半导体设备国产化,光刻设备,光刻胶,ArF光刻胶,300346,南大光电,创业板,ArF光刻胶供应商,高端ArF光刻胶打破日系垄断已通过多家晶圆厂验证进入放量阶段需关注量产良率爬坡,国内ArF光刻胶龙头,约15%处于快速提升期,中芯国际/华虹半导体/长江存储,高,2025年券商研报及公司公告,替代日本JSR与TOK产品
半导体设备国产化,光刻设备,光刻胶,KrF光刻胶,300655,晶瑞电材,创业板,KrF光刻胶供应商,KrF光刻胶已实现稳定供货并在i-line/g-line胶均有布局产品线较全,国内KrF光刻胶主要供应商,约20%国产份额领先,中芯国际/士兰微/华润微,高,公司年报及行业报告,受益成熟制程扩产
半导体设备国产化,光刻设备,光刻胶,紫外光刻胶,300398,飞凯材料,创业板,紫外光刻胶供应商,紫外固化材料与光刻胶协同布局面板与半导体双市场近年来重注半导体级产品,面板光刻胶占优切入半导体,面板领域约30%半导体产能爬坡中,京东方/TCL华星/晶合集成,中,公司公告及投资者交流纪要,半导体级产品仍在验证阶段
半导体设备国产化,光刻设备,光刻机零部件,光学系统,002338,奥普光电,主板,光刻机光学部件配套,为国产光刻机提供高精度光学镜头与对准系统背靠长春光机所有深厚技术积累,光刻机光学系统核心配套,国内独占性强,上海微电子/长春光机所,高,券商研报及长光所公开信息,产品壁垒极高但量产规模有限
半导体设备国产化,刻蚀设备,等离子刻蚀,CCP刻蚀,688012,中微公司,科创板,介质刻蚀设备龙头,CCP刻蚀机已进入台积电5nm产线国内唯一达到国际先进水平3D NAND高深宽比刻蚀优势明显,国产刻蚀设备第一全球CCP刻蚀前五,国内约30%全球约3%,台积电/长江存储/中芯国际/华虹,高,公司年报及SEMI数据,国产替代核心标的
半导体设备国产化,刻蚀设备,等离子刻蚀,ICP刻蚀,688082,盛美上海,科创板,清洗与ICP刻蚀,以清洗设备起家逐步拓展ICP刻蚀设备独创SAPS/TEBO清洗技术全球领先,清洗设备国产龙头刻蚀快速追赶,清洗约25%刻蚀约5%,SK海力士/长江存储/中芯国际,高,公司年报及路演材料,清洗设备竞争力突出
半导体设备国产化,薄膜沉积,CVD,PECVD,002371,北方华创,主板,综合半导体设备平台,CVD/PVD/ALD/刻蚀/炉管等全产品线布局国内半导体设备平台型龙头,国产半导体设备综合平台第一,刻蚀约15%CVD约10%ALD约8%,中芯国际/长江存储/华虹/士兰微,高,公司年报及各类行业数据,平台型公司协同效应显著
半导体设备国产化,薄膜沉积,CVD,LPCVD,688012,中微公司,科创板,LPCVD设备,除刻蚀外在薄膜沉积领域也积极布局LPCVD设备已送样验证打开第二成长曲线,刻蚀外延拓展LPCVD,份额小处于导入期,长江存储/华虹,中,公司公告及行业动态,新业务线仍在验证阶段
半导体设备国产化,检测设备,光学检测,明场检测,688596,精测电子,科创板,半导体检测设备,在明场/暗场光学检测领域持续突破已覆盖中道检测多环节获得长江存储等重复订单,国产半导体检测领先,明场约5%国产替代空间大,长江存储/中芯国际/合肥长鑫,高,公司年报及行业报告,检测设备国产化率目前很低
半导体设备国产化,检测设备,光学检测,暗场检测,688003,天准科技,科创板,视觉检测设备,以工业视觉起家向半导体检测渗透拥有高精度光学检测能力,工业视觉龙头切入半导体,半导体检测份额尚小,华天科技/通富微电,中,公司公告,半导体检测为新拓展方向
先进封装,封装设备,键合设备,混合键合,688120,华海清科,科创板,CMP与混合键合设备,在CMP设备领先基础上向混合键合设备拓展3D封装对CMP与键合需求增长确定性高,CMP国产龙头混合键合为新技术方向,CMP约20%混合键合处于早期,长江存储/华天科技/晶合集成,高,公司年报及行业趋势分析,受益Chiplet与3D封装趋势
先进封装,封装设备,键合设备,热压键合,688082,盛美上海,科创板,键合与封装设备,除清洗外在先进封装键合设备领域也有布局整体方案逐步完善,先进封装设备方案提供商,键合设备份额较小,华天科技/通富微电,中,公司路演及投资者交流,新拓展方向有较大成长空间
先进封装,封装设备,贴片设备,FC贴片,688596,精测电子,科创板,封装检测与贴片,在先进封装检测与贴片工艺上有所布局受益先进封装扩产浪潮,先进封装设备国产化参与者,份额小处于导入期,华天科技/长电科技,中,公司公告及行业动态,先进封装设备国产化率整体偏低
先进封装,封装材料,IC载板,ABF载板,002938,鹏鼎控股,主板,IC载板制造商,PCB龙头向IC载板延伸ABF载板产线建设中预计将受益Chiplet封装对载板的需求增长,PCB龙头布局IC载板,PCB全球第一IC载板份额较小,苹果/英特尔/海思,高,公司年报及行业深度报告,ABF载板国产替代空间大
先进封装,封装材料,IC载板,BT载板,603989,艾华集团,主板,BT载板材料供应商,电容器龙头被动元器件积累深厚BT树脂材料可应用于IC载板制造,被动元器件龙头材料拓展,电容器国产份额约15%,国巨/华新科/风华高科,中,公司公告及行业资料,材料拓展为新方向
先进封装,封装材料,塑封料,环氧塑封料,002409,雅克科技,主板,半导体材料综合供应商,在塑封料前驱体光刻胶等多领域布局半导体材料平台型企业,半导体材料综合平台,塑封料约10%前驱体约15%,SK海力士/长江存储/中芯国际,高,公司年报及并购公告,通过并购实现产品线扩展
先进封装,封装材料,塑封料,液体塑封料,300236,上海新阳,创业板,半导体材料供应商,在电镀液清洗液塑封料等领域布局受益先进封装对材料需求的增长,半导体材料国产化参与者,电镀液约15%塑封料约5%,中芯国际/华虹,中,公司年报及行业报告,新品类拓展中
先进封装,封装设计,EDA工具,封装EDA,688981,中芯国际,科创板,晶圆代工龙头EDA协同,作为晶圆代工龙头在先进封装设计EDA工具上与生态伙伴协作推动Chiplet标准与设计流程,晶圆代工龙头推动封装生态,晶圆代工国内第一全球前五,高通/博通/华为海思,高,公司年报及行业趋势,先进封装与制造工艺深度融合
先进封装,封装设计,EDA工具,3D封装仿真,688777,华大九天,创业板,国产EDA龙头,国产EDA龙头在封装设计仿真工具上持续突破支持先进封装设计流程,国产EDA第一,国内EDA约8%,中芯国际/华天科技/长电科技,高,公司年报及行业深度报告,EDA国产化率极低成长空间大
先进封装,封装设计,EDA工具,信号完整性分析,688012,中微公司,科创板,刻蚀设备龙头封装关联,刻蚀与薄膜设备在TSV硅通孔等先进封装工艺中不可或缺公司积极布局封装设备市场,刻蚀龙头布局封装设备,刻蚀约30%封装设备约5%,台积电/长江存储/华天科技,中,公司公告及行业趋势,封装设备为新增长点
